iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9.0,0.20179350674152374
1000,-1.0,2.0,8.0,0.11926673352718353
1500,-0.88,2.12,8.0,0.07847946882247925
2000,-0.89,2.11,9.0,0.0686570331454277
2500,-1.0,2.0,9.0,0.11859773844480515
3000,-0.75,2.25,8.0,0.1351829469203949
3500,-0.56,2.44,9.0,0.03917394578456879
4000,-0.56,2.44,9.0,0.03182350471615791
4500,-0.5,2.5,8.0,0.03806477040052414
5000,-0.75,2.25,8.0,0.04407915472984314
5500,-0.25,2.75,8.0,0.012313872575759888
6000,-0.62,2.38,8.0,0.06287090480327606
6500,-0.62,2.38,8.0,0.024066492915153503
7000,0.11,2.56,9.0,0.012824911624193192
7500,-0.11,2.56,9.0,0.014948665164411068
8000,-0.88,2.12,8.0,0.023518487811088562
8500,-0.3,2.3,10.0,0.030226461589336395
9000,-0.88,2.12,8.0,0.018734276294708252
9500,-0.25,2.75,8.0,0.07661700248718262
10000,-0.5,2.5,10.0,0.034501854330301285
10500,-0.5,2.5,8.0,0.0205623097717762
11000,-0.38,2.62,8.0,0.023209091275930405
11500,0.0,3.0,8.0,0.0047470321878790855
12000,-0.88,2.12,8.0,0.02736065350472927
12500,0.0,3.0,8.0,0.04015190899372101
13000,-0.56,2.44,9.0,0.03236993029713631
13500,-0.62,2.38,8.0,0.028998009860515594
14000,0.11,2.56,9.0,0.019019735977053642
14500,-0.38,2.62,8.0,0.027794167399406433
