iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10.0,0.2564609944820404
1000,-1.0,2.0,9.0,0.1664469838142395
1500,-0.89,2.11,9.0,0.11909833550453186
2000,-1.0,2.0,9.0,0.16686517000198364
2500,-1.0,2.0,8.0,0.1742590069770813
3000,-1.0,2.0,11.0,0.06569765508174896
3500,-1.0,2.0,9.0,0.04695247858762741
4000,-1.0,2.0,8.0,0.07803778350353241
4500,-1.0,2.0,8.0,0.07727964222431183
5000,-0.8,2.2,10.0,0.028404025360941887
5500,-1.0,2.0,8.0,0.056393709033727646
6000,-0.75,2.25,8.0,0.022431395947933197
6500,-1.0,2.0,8.0,0.04523702710866928
7000,-0.88,2.12,8.0,0.02912229113280773
7500,-0.62,2.38,8.0,0.028396712616086006
8000,-0.78,2.22,9.0,0.02264414355158806
8500,-0.67,2.33,9.0,0.053982097655534744
9000,-1.0,2.0,8.0,0.03415845334529877
9500,-0.62,2.38,8.0,0.08007413148880005
10000,-0.56,2.44,9.0,0.03304000198841095
10500,-0.88,2.12,8.0,0.034883081912994385
11000,-0.62,2.38,8.0,0.03466637805104256
11500,-0.25,2.75,8.0,0.05453129857778549
12000,-1.0,2.0,8.0,0.013639206066727638
12500,-0.38,2.62,8.0,0.037774696946144104
13000,-0.75,2.25,8.0,0.00875909999012947
13500,-0.62,2.38,8.0,0.06081388518214226
14000,-0.5,2.5,8.0,0.010445419698953629
14500,-0.38,2.62,8.0,0.004135355819016695
15000,-0.78,2.22,9.0,0.021925898268818855
15500,0.0,3.0,8.0,0.009535814635455608
