iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9.0,0.173189178109169
1000,-0.88,2.12,8.0,0.17168763279914856
1500,-0.89,2.11,9.0,0.15063542127609253
2000,-1.0,2.0,8.0,0.11801281571388245
2500,-1.0,2.0,8.0,0.10373969376087189
3000,-1.0,2.0,9.0,0.11099905520677567
3500,-1.0,2.0,9.0,0.10312138497829437
4000,-0.88,2.12,8.0,0.11723840981721878
4500,-0.88,2.12,8.0,0.09846145659685135
5000,-0.78,2.22,9.0,0.07413839548826218
5500,-0.88,2.12,8.0,0.0470733642578125
6000,-0.88,2.12,8.0,0.036596622318029404
6500,-0.88,2.12,8.0,0.043465182185173035
7000,-0.88,2.12,8.0,0.054149188101291656
7500,-1.0,2.0,8.0,0.013358840718865395
8000,-0.5,2.5,8.0,0.028961576521396637
8500,-0.78,2.22,9.0,0.029690727591514587
9000,-0.38,2.62,8.0,0.09392937272787094
9500,-0.62,2.38,8.0,0.05453610420227051
10000,-0.33,2.67,9.0,0.055191770195961
10500,-0.12,2.88,8.0,0.017949318513274193
11000,-0.38,2.62,8.0,0.0493086501955986
11500,-0.38,2.62,8.0,0.04354262724518776
12000,-0.12,2.88,8.0,0.017845219001173973
12500,-0.78,2.22,9.0,0.04750007390975952
13000,-0.75,2.25,8.0,0.04320935904979706
13500,-0.38,2.62,8.0,0.008129868656396866
14000,-0.75,2.25,8.0,0.01965913362801075
14500,0.12,3.12,8.0,0.06253592669963837
15000,-0.62,2.38,8.0,0.02149188704788685
15500,-0.62,2.38,8.0,0.02762126922607422
