iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10.0,0.168147012591362
1000,-1.0,2.0,8.0,0.15038660168647766
1500,-1.0,2.0,8.0,0.09596440196037292
2000,-1.0,2.0,8.0,0.12267492711544037
2500,-1.0,2.0,9.0,0.08844894170761108
3000,-0.89,2.11,9.0,0.0885881781578064
3500,-1.0,2.0,8.0,0.07278603315353394
4000,-1.0,2.0,8.0,0.026611316949129105
4500,-1.0,2.0,8.0,0.04181686043739319
5000,-0.88,2.12,8.0,0.03783765435218811
5500,-1.0,2.0,9.0,0.02925417572259903
6000,-0.78,2.22,9.0,0.04149775579571724
6500,-0.62,2.38,8.0,0.008063510991632938
7000,-1.0,2.0,8.0,0.0842379480600357
7500,-0.75,2.25,8.0,0.04112349823117256
8000,-0.75,2.25,8.0,0.011909859254956245
8500,-0.5,2.5,8.0,0.05108833685517311
9000,0.0,3.0,8.0,0.04431478679180145
9500,-0.78,2.22,9.0,0.013398561626672745
10000,-0.75,2.25,8.0,0.0497460812330246
10500,-0.12,2.88,8.0,0.012691334821283817
11000,-0.12,2.88,8.0,0.018190136179327965
11500,0.0,3.0,8.0,0.03562738001346588
12000,-0.38,2.62,8.0,0.015786943957209587
12500,-0.11,2.89,9.0,0.02718564122915268
13000,-0.25,2.75,8.0,0.023119762539863586
13500,-0.75,2.25,8.0,0.023851502686738968
14000,-0.5,2.5,8.0,0.08030109107494354
14500,-0.38,2.62,8.0,0.02124929241836071
15000,-0.12,2.88,8.0,0.011159849353134632
15500,-0.25,2.75,8.0,0.027408000081777573
16000,-0.5,2.5,8.0,0.005632148124277592
16500,-0.38,2.62,8.0,0.022220734506845474
17000,-0.12,2.88,8.0,0.016230421140789986
17500,-0.25,2.75,8.0,0.03634581342339516
18000,-0.38,2.62,8.0,0.026923611760139465
18500,-0.38,2.62,8.0,0.06021030992269516
19000,0.25,3.25,8.0,0.02527540549635887
19500,-0.38,2.62,8.0,0.0583052858710289
20000,-0.5,2.5,8.0,0.041214969009160995
20500,-0.12,2.88,8.0,0.0067924498580396175
21000,0.12,3.12,8.0,0.04468357935547829
21500,-0.38,2.62,8.0,0.03005005046725273
22000,-0.12,2.88,8.0,0.03132929280400276
22500,0.22,3.22,9.0,0.0224998127669096
23000,0.25,3.25,8.0,0.02744501829147339
23500,-0.12,2.88,8.0,0.0008443137630820274
24000,0.25,3.25,8.0,0.02941706031560898
24500,-0.12,2.88,8.0,0.019918493926525116
25000,-0.62,2.38,8.0,0.014322149567306042
25500,0.12,3.12,8.0,0.025417232885956764
26000,-0.5,2.5,8.0,0.020688101649284363
26500,-0.75,2.25,8.0,0.020192734897136688
27000,-0.25,2.75,8.0,0.02297041192650795
27500,-0.12,2.88,8.0,0.04733537510037422
28000,-0.11,2.89,9.0,0.004425376188009977
28500,0.12,3.12,8.0,0.002574201673269272
29000,0.33,3.33,9.0,0.03740726411342621
29500,-0.88,2.12,8.0,0.0367877334356308
30000,0.0,3.0,8.0,0.018688073381781578
30500,0.25,3.25,8.0,0.037235815078020096
31000,0.75,3.75,8.0,0.020187586545944214
31500,1.12,4.12,8.0,0.003031267086043954
32000,-0.38,2.62,8.0,0.0372580848634243
32500,-0.25,2.75,8.0,0.034984175115823746
33000,0.38,3.38,8.0,0.012888647615909576
33500,0.62,3.62,8.0,0.016485892236232758
34000,0.25,3.25,8.0,0.021191785112023354
34500,0.0,3.0,8.0,0.029133345931768417
35000,0.62,3.62,8.0,0.021194808185100555
35500,0.75,3.75,8.0,0.0018519661389291286
36000,0.0,3.0,8.0,0.00030034896917641163
36500,-0.12,2.88,8.0,0.017556145787239075
37000,1.0,4.0,8.0,0.0261327363550663
37500,0.0,3.0,8.0,0.026751555502414703
38000,-0.12,2.88,8.0,0.06383240222930908
38500,0.88,3.88,8.0,0.018265029415488243
39000,0.75,3.75,8.0,0.016708817332983017
